op,'Estilo','Etiqueta Color','Talla',Suma de 'Q Req',Suma de 'Q Prog',Suma de 'Q Mer',Segundas,OP ESTILO COLOR ,Defecto,CALIDAD,Marca,MINUTAJE COSTURA,TEMPORADA,PRENDA,GRUPO TEJIDO,DISEÑO,DENSIDAD ALAV,DENSIDAD DLAV,'Est Pza','Est Bloque','Est Pda',BORDADO,LAVADO TPA,RUTA,'Descripción Lavados Paños Bloq Pzas','Descripción Lavado Teñido en Prenda','Tipo de Prenda Planeamiento','Tipo de Pedido OComercial',Se trabaja en?,LT Manufac,LT Total,TIPO DE COSTURA,Hilo
291093,NW195,WT0005 WHI,XXL,18,27,0,0,291093NW195WT0005 WHI,SIN DEFECTO,PRIMERA,MADEWELL,29.25,SUMMER 2025,T-SHIRT,RIB,ACANALADO 2X2 FULL LYCRA,290,320,0,0,0,0,T,TELA LAVADA EN PAÑOS / CORTE / COSTURA / CLASIFICADO / ACABADO,,LAVADO PAÑO SILICONEADO,Pechera Moda/ Camisas,PRODUCCIÓN,Planta,46,100,Cost. Recta,40/1
304745,S26-W10245,BIRCH WHIT,XL,333,343,1,3,304745S26-W10245BIRCH WHIT,,,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,140,155,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,,,Polo Cuello Redondo,PRODUCCIÓN,Planta,32,57,Cost. Remalle,30/1
304745,S26-W10245,BIRCH WHIT,XS,39,43,0,1,304745S26-W10245BIRCH WHIT,,,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,140,155,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,,,Polo Cuello Redondo,PRODUCCIÓN,Planta,32,57,Cost. Remalle,30/1
304745,S26-W10245,BIRCH WHIT,XXL,187,196,0,2,304745S26-W10245BIRCH WHIT,,,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,140,155,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,,,Polo Cuello Redondo,PRODUCCIÓN,Planta,32,57,Cost. Remalle,30/1
304767,S26-W10245,CANYON ORA,L,630,648,0,9,304767S26-W10245CANYON ORA,MANCHAS Y MIGRADO DE LAVANDERIA,TERCERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,140,155,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,,,Polo Cuello Redondo,PRODUCCIÓN,Planta,35,57,Cost. Remalle,30/1
304767,S26-W10245,CANYON ORA,M,455,469,0,1,304767S26-W10245CANYON ORA,HUECOS DE COSTURA,TERCERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,140,155,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,,,Polo Cuello Redondo,PRODUCCIÓN,Planta,35,57,Cost. Remalle,30/1
294740,NW948,BL0448 MID,XXS,18,23,0,0,294740NW948BL0448 MID,SIN DEFECTO,PRIMERA,MADEWELL,19.63,FALL 2025,T-SHIRT,JERSEY,LYCRADO,180,200,0,0,0,0,0,CORTE / COSTURA / CLASIFICADO / ACABADO,,,Polera-Capucha-Polo/Bvd c/vent,PRODUCCIÓN,Planta,29,94,Cost. Remalle,30/1
304767,S26-W10245,CANYON ORA,XL,557,574,0,5,304767S26-W10245CANYON ORA,MANCHAS Y MIGRADO DE LAVANDERIA,TERCERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,140,155,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,,,Polo Cuello Redondo,PRODUCCIÓN,Planta,35,57,Cost. Remalle,30/1
283684,PH0084,BLANC 001,3,18,21,0,0,283684PH0084BLANC 001,SIN DEFECTO,PRIMERA,LACOSTE,19.22,SPRING SUM 2025,BOX,PIQUE,SIMPLE LYCRADO 1:1,210,230,0,0,0,0,0,CORTE / COSTURA / CLASIFICADO / ACABADO,,,Pechera Básico,PRODUCCIÓN,Servicio,107,161,Cost. Recta,30/1
304767,S26-W10245,CANYON ORA,XXL,282,294,0,3,304767S26-W10245CANYON ORA,HUECOS DE COSTURA,TERCERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,140,155,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,,,Polo Cuello Redondo,PRODUCCIÓN,Planta,35,57,Cost. Remalle,30/1
