Record Id;Nombre de Oportunidad;Sublínea;Familia de producto; VALORUSD 
4592454000232280000;Nitrato de calcio;SUR GRANDE AGRO;NITRATO DE CALCIO SOLUBLE; 33,600 
4592454000224950000;HIDROXIDO DE ALUMINIO - MASTER BUILDERS;Otros OLO;HIDROXIDO DE ALUMINIO; 33,200 
4592454000172990000;MIX PROD. MARZO - OLIVOS DE VILLACURÍ;SUR MEDIO AGRO;NITRATO DE MAGNESIO; 32,900 
4592454000215360000;LECHE DESCREMADA 20 TM;Food;LECHE DESCREMADA; 32,200 
4592454000225300000;ETOXIQUINA 95 Distribuidor;Pesca;ETOXIQUINA LIQUIDA; 32,000 
4592454000449260000;LECHE DESCREMADA 300 SACOS;Food;LECHE DESCREMADA; 31,875 
4592454000294370000;LECHE DESCREMADA SET- 10 TM;Food;LECHE DESCREMADA; 31,500 
4592454000300360000;COLAGENO 4 TM;Food;COLAGENO HIDROLIZADO; 31,200 
4592454000209180000;Consumo mensual - Pamajosa;NORTE CHICO AGRO;NITRATO DE POTASIO SOLUBLE; 31,050 
4592454000211080000;LECHE ENTERA (NEDGOLD) - OCTUBRE;Food;LECHE ENTERA; 30,000 
4592454000197910000;LECHE DESCREMADA - PROYECTO;Food;LECHE DESCREMADA; 30,000 
4592454000226380000;cotizacion 2 semestre;SUR MEDIO AGRO;NITRATO DE POTASIO SOLUBLE; 29,975 
4592454000449260000;LECHE DESCREMADA 7 TM;Food;LECHE DESCREMADA; 29,750 
4592454000292010000;cotizacion extra agosto;SUR MEDIO AGRO;NITRATO DE POTASIO SOLUBLE; 29,290 
4592454000164220000;SAL REFINADA PDV;Textil;SAL REFINADA; 29,250 
4592454000338210000;GELATINA 5 TM - 2026 - R.C.;Food;GELATINA 280; 29,000 
4592454000293420000;PROTEINA AISLADA - 12 TM - SEP;Food;PROTEINA AISLADA DE SOYA; 28,800 
4592454000218210000;Cotización Octubre;SUR GRANDE AGRO;NITRATO DE CALCIO SOLUBLE; 28,800 
4592454000449130000;npk 19.;CENTRO;NPK SOLUBLE; 27,200 
4592454000288810000;Campaña 2025 - 3 -AGR. WIDOK;SUR CHICO AGRO;NITRATO DE POTASIO SOLUBLE; 27,030 
4592454000170360000;ACIDO CITRICO LICITACION;Food;ACIDO CITRICO; 27,000 
4592454000220340000;COTIZACION SULFATO DE POTASIO;NORTE MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 26,880 
4592454000179540000;AMINOACIDOS ABRIL-MAYO;Feed;ISOLEUCINA; 26,700 
4592454000270110000;NOP MAGROPLEX;SUR CHICO AGRO;NPK GRANULADO; 26,240 
4592454000251770000;CITRATO DE SODIO | FEBRERO 2025;Food;CITRATO DE SODIO; 26,100 
4592454000268310000;re1 0005 - agrilor;SUR MEDIO AGRO;ACIDO FOSFORICO FG; 26,000 
4592454000284170000;F Monoamónico;SUR GRANDE AGRO;FOSFATO MONOAMONICO SOLUBLE; 26,000 
